OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
"28",17.34800000000,15.82300000000,19863.56329700000,"4","104605",???????????,"1046",?????????,"10",???????????,19830.49155590000,17354165.09310000017
"30",1.71300000000,1.77300000000,6059.31153179000,"2","101804",??????????,"1018",???????,"10",???????????,6054.10586589000,1712916.67115000007
"31",1.03700000000,0.72700000000,5663.95234298000,"3","101802",???????,"1018",???????,"10",???????????,5658.07848670000,1037408.64254999999
"32",2.28800000000,2.23400000000,6024.64363753000,"4","101803",???????????,"1018",???????,"10",???????????,6014.51335116000,2288411.87886000006
"33",0.92900000000,1.31700000000,4128.80512596000,"5","101801",???????????,"1018",???????,"10",???????????,4118.45500964000,929077.99232399999
"34",7.54200000000,7.24900000000,15592.65079580000,"2","103301",???????,"1033",???????,"10",???????????,15560.72367680000,7541605.41411999986
"35",1.94000000000,1.89500000000,6220.87302802000,"3","103302",???????,"1033",???????,"10",???????????,6204.72739283000,1939961.42524000001
"36",3.91400000000,3.85000000000,10388.62974580000,"4","103303",???????,"1033",???????,"10",???????????,10373.21525800000,3914283.26683000010
"37",5.91500000000,5.95500000000,12446.21408030000,"3","104102",??????????,"1041",???????,"10",???????????,12418.50638740000,5915402.49885000102
"38",16.15000000000,14.29700000000,17419.74222870000,"2","101102",???????????,"1011",?????????,"10",???????????,17400.37367190000,16150398.39169999957
"39",17.71600000000,17.45800000000,18698.58347780000,"3","101103",???????????,"1011",?????????,"10",???????????,18645.84903040000,17715720.82880000025
"40",33.00600000000,33.75200000000,29969.97772670000,"5","101104",????????,"1011",?????????,"10",???????????,30424.81725540000,32623809.08270000294
"41",6.36200000000,7.05500000000,12393.01350150000,"2","103802",????????,"1038",????????,"10",???????????,12381.36867570000,6362062.96960000042
"42",24.92900000000,28.45900000000,27115.42785420000,"2","101001",???????,"1010",???????,"10",???????????,26167.76452330000,24167919.01460000128
"43",35.40800000000,35.18600000000,29803.67284050000,"3","101002",??????,"1010",???????,"10",???????????,29435.73525680000,35790594.59380000085
"44",30.96200000000,29.99200000000,27068.92620650000,"2","100302",???????,"1003",???????,"10",???????????,27408.91862280000,31269801.63080000132
"45",18.02000000000,17.75000000000,18696.54333330000,"4","100306",???????????,"1003",???????,"10",???????????,18636.59339850000,18009434.30869999900
"46",33.16000000000,33.35800000000,28352.27334420000,"6","100307",???????,"1003",???????,"10",???????????,28318.84275790000,33160234.83480000123
"47",25.03100000000,24.78900000000,30593.60729880000,"7","100308",??????????,"1003",???????,"10",???????????,30543.39152650000,25031034.45870000124
"48",40.43600000000,38.13200000000,28785.52296450000,"8","100301",??????????,"1003",???????,"10",???????????,28753.59727610000,40436136.77300000191
"49",1.23100000000,1.30000000000,4845.67689835000,"2","100701",????????,"1007",???????,"10",???????????,4829.73322179000,1231062.04419000004
"50",1.33700000000,1.40300000000,5033.99712138000,"3","100702",???????,"1007",???????,"10",???????????,5018.04390250000,1337010.66379999998
